ROIid;ROIabbr;ROIname;ROIbaseid;ROIbasename;Voxel;Volume;XYZ
124;pSTS_R_2_2;pSTS_R_2_2;[ 124 ];pSTS_R_2_2;634;2.14;57,-40,12
125;SPL_L_5_1;SPL_L_5_1;[ 125 ];SPL_L_5_1;935;3.16;-16,-60,63
126;SPL_R_5_1;SPL_R_5_1;[ 126 ];SPL_R_5_1;1317;4.44;19,-57,65
127;SPL_L_5_2;SPL_L_5_2;[ 127 ];SPL_L_5_2;1110;3.75;-15,-71,52
128;SPL_R_5_2;SPL_R_5_2;[ 128 ];SPL_R_5_2;1211;4.09;19,-69,54
129;SPL_L_5_3;SPL_L_5_3;[ 129 ];SPL_L_5_3;1200;4.05;-33,-47,50
130;SPL_R_5_3;SPL_R_5_3;[ 130 ];SPL_R_5_3;902;3.04;35,-42,54
131;SPL_L_5_4;SPL_L_5_4;[ 131 ];SPL_L_5_4;1198;4.04;-22,-47,65
132;SPL_R_5_4;SPL_R_5_4;[ 132 ];SPL_R_5_4;1096;3.70;23,-43,67
133;SPL_L_5_5;SPL_L_5_5;[ 133 ];SPL_L_5_5;932;3.15;-27,-59,54
134;SPL_R_5_5;SPL_R_5_5;[ 134 ];SPL_R_5_5;1093;3.69;31,-54,53
135;IPL_L_6_1;IPL_L_6_1;[ 135 ];IPL_L_6_1;2591;8.74;-34,-80,29
136;IPL_R_6_1;IPL_R_6_1;[ 136 ];IPL_R_6_1;2830;9.55;45,-71,20
137;IPL_L_6_2;IPL_L_6_2;[ 137 ];IPL_L_6_2;1992;6.72;-38,-61,46
138;IPL_R_6_2;IPL_R_6_2;[ 138 ];IPL_R_6_2;2246;7.58;39,-65,44
139;IPL_L_6_3;IPL_L_6_3;[ 139 ];IPL_L_6_3;2444;8.25;-51,-33,42
140;IPL_R_6_3;IPL_R_6_3;[ 140 ];IPL_R_6_3;2561;8.64;47,-35,45
141;IPL_L_6_4;IPL_L_6_4;[ 141 ];IPL_L_6_4;2557;8.63;-56,-49,38
142;IPL_R_6_4;IPL_R_6_4;[ 142 ];IPL_R_6_4;2726;9.20;57,-44,38
143;IPL_L_6_5;IPL_L_6_5;[ 143 ];IPL_L_6_5;3644;12.30;-47,-65,26
144;IPL_R_6_5;IPL_R_6_5;[ 144 ];IPL_R_6_5;3175;10.72;53,-54,25
145;IPL_L_6_6;IPL_L_6_6;[ 145 ];IPL_L_6_6;2523;8.52;-53,-31,23
146;IPL_R_6_6;IPL_R_6_6;[ 146 ];IPL_R_6_6;2897;9.78;55,-26,26
147;PCun_L_4_1;PCun_L_4_1;[ 147 ];PCun_L_4_1;1201;4.05;-5,-63,51
148;PCun_R_4_1;PCun_R_4_1;[ 148 ];PCun_R_4_1;1087;3.67;6,-65,51
149;PCun_L_4_2;PCun_L_4_2;[ 149 ];PCun_L_4_2;1329;4.49;-8,-47,57
150;PCun_R_4_2;PCun_R_4_2;[ 150 ];PCun_R_4_2;1553;5.24;7,-47,58
151;PCun_L_4_3;PCun_L_4_3;[ 151 ];PCun_L_4_3;2071;6.99;-12,-67,25
152;PCun_R_4_3;PCun_R_4_3;[ 152 ];PCun_R_4_3;2563;8.65;16,-64,25
153;PCun_L_4_4;PCun_L_4_4;[ 153 ];PCun_L_4_4;1777;6.00;-6,-55,34
154;PCun_R_4_4;PCun_R_4_4;[ 154 ];PCun_R_4_4;2213;7.47;6,-54,35
155;PoG_L_4_1;PoG_L_4_1;[ 155 ];PoG_L_4_1;2197;7.41;-50,-16,43
156;PoG_R_4_1;PoG_R_4_1;[ 156 ];PoG_R_4_1;2181;7.36;50,-14,44
157;PoG_L_4_2;PoG_L_4_2;[ 157 ];PoG_L_4_2;1435;4.84;-56,-14,16
158;PoG_R_4_2;PoG_R_4_2;[ 158 ];PoG_R_4_2;1453;4.90;56,-10,15
159;PoG_L_4_3;PoG_L_4_3;[ 159 ];PoG_L_4_3;1772;5.98;-46,-30,50
160;PoG_R_4_3;PoG_R_4_3;[ 160 ];PoG_R_4_3;1701;5.74;48,-24,48
161;PoG_L_4_4;PoG_L_4_4;[ 161 ];PoG_L_4_4;1625;5.48;-21,-35,68
162;PoG_R_4_4;PoG_R_4_4;[ 162 ];PoG_R_4_4;1283;4.33;20,-33,69
163;INS_L_6_1;INS_L_6_1;[ 163 ];INS_L_6_1;810;2.73;-36,-20,10
164;INS_R_6_1;INS_R_6_1;[ 164 ];INS_R_6_1;614;2.07;37,-18,8
165;INS_L_6_2;INS_L_6_2;[ 165 ];INS_L_6_2;534;1.80;-32,14,-13
166;INS_R_6_2;INS_R_6_2;[ 166 ];INS_R_6_2;471;1.59;33,14,-13
167;INS_L_6_3;INS_L_6_3;[ 167 ];INS_L_6_3;618;2.09;-34,18,1
168;INS_R_6_3;INS_R_6_3;[ 168 ];INS_R_6_3;553;1.87;36,18,1
169;INS_L_6_4;INS_L_6_4;[ 169 ];INS_L_6_4;632;2.13;-38,-4,-9
170;INS_R_6_4;INS_R_6_4;[ 170 ];INS_R_6_4;698;2.36;39,-2,-9
171;INS_L_6_5;INS_L_6_5;[ 171 ];INS_L_6_5;699;2.36;-38,-8,8
172;INS_R_6_5;INS_R_6_5;[ 172 ];INS_R_6_5;635;2.14;39,-7,8
173;INS_L_6_6;INS_L_6_6;[ 173 ];INS_L_6_6;868;2.93;-38,5,5
174;INS_R_6_6;INS_R_6_6;[ 174 ];INS_R_6_6;676;2.28;38,5,5
175;CG_L_7_1;CG_L_7_1;[ 175 ];CG_L_7_1;1099;3.71;-4,-39,31
176;CG_R_7_1;CG_R_7_1;[ 176 ];CG_R_7_1;1022;3.45;4,-37,32
177;CG_L_7_2;CG_L_7_2;[ 177 ];CG_L_7_2;435;1.47;-3,8,25
178;CG_R_7_2;CG_R_7_2;[ 178 ];CG_R_7_2;644;2.17;5,22,12
179;CG_L_7_3;CG_L_7_3;[ 179 ];CG_L_7_3;1081;3.65;-6,34,21
180;CG_R_7_3;CG_R_7_3;[ 180 ];CG_R_7_3;917;3.09;5,28,27
181;CG_L_7_4;CG_L_7_4;[ 181 ];CG_L_7_4;867;2.93;-8,-47,10
182;CG_R_7_4;CG_R_7_4;[ 182 ];CG_R_7_4;754;2.54;9,-44,11
183;CG_L_7_5;CG_L_7_5;[ 183 ];CG_L_7_5;841;2.84;-5,7,37
184;CG_R_7_5;CG_R_7_5;[ 184 ];CG_R_7_5;650;2.19;4,6,38
185;CG_L_7_6;CG_L_7_6;[ 185 ];CG_L_7_6;1301;4.39;-7,-23,41
186;CG_R_7_6;CG_R_7_6;[ 186 ];CG_R_7_6;1284;4.33;6,-20,40
187;CG_L_7_7;CG_L_7_7;[ 187 ];CG_L_7_7;1452;4.90;-4,39,-2
188;CG_R_7_7;CG_R_7_7;[ 188 ];CG_R_7_7;1035;3.49;5,41,6
189;MVOcC_L_5_1;MVOcC_L_5_1;[ 189 ];MVOcC_L_5_1;1185;4.00;-11,-82,-11
190;MVOcC_R_5_1;MVOcC_R_5_1;[ 190 ];MVOcC_R_5_1;1413;4.77;10,-85,-9
191;MVOcC_L_5_2;MVOcC_L_5_2;[ 191 ];MVOcC_L_5_2;1953;6.59;-5,-81,10
192;MVOcC_R_5_2;MVOcC_R_5_2;[ 192 ];MVOcC_R_5_2;2019;6.81;7,-76,11
193;MVOcC_L_5_3;MVOcC_L_5_3;[ 193 ];MVOcC_L_5_3;1490;5.03;-6,-94,1
194;MVOcC_R_5_3;MVOcC_R_5_3;[ 194 ];MVOcC_R_5_3;1407;4.75;8,-90,12
195;MVOcC_L_5_4;MVOcC_L_5_4;[ 195 ];MVOcC_L_5_4;1810;6.11;-17,-60,-6
196;MVOcC_R_5_4;MVOcC_R_5_4;[ 196 ];MVOcC_R_5_4;2090;7.05;18,-60,-7
197;MVOcC_L_5_5;MVOcC_L_5_5;[ 197 ];MVOcC_L_5_5;2322;7.84;-13,-68,12
198;MVOcC_R_5_5;MVOcC_R_5_5;[ 198 ];MVOcC_R_5_5;2338;7.89;15,-63,12
199;LOcC_L_4_1;LOcC_L_4_1;[ 199 ];LOcC_L_4_1;1928;6.51;-31,-89,11
200;LOcC_R_4_1;LOcC_R_4_1;[ 200 ];LOcC_R_4_1;1973;6.66;34,-86,11
201;LOcC_L_4_2;LOcC_L_4_2;[ 201 ];LOcC_L_4_2;1816;6.13;-46,-74,3
202;LOcC_R_4_2;LOcC_R_4_2;[ 202 ];LOcC_R_4_2;1931;6.52;48,-70,-1
203;LOcC_L_4_3;LOcC_L_4_3;[ 203 ];LOcC_L_4_3;2299;7.76;-18,-99,2
204;LOcC_R_4_3;LOcC_R_4_3;[ 204 ];LOcC_R_4_3;2357;7.95;22,-97,4
205;LOcC_L_4_4;LOcC_L_4_4;[ 205 ];LOcC_L_4_4;2419;8.16;-30,-88,-12
206;LOcC_R_4_4;LOcC_R_4_4;[ 206 ];LOcC_R_4_4;2186;7.38;32,-85,-12
207;LOcC_L_2_1;LOcC_L_2_1;[ 207 ];LOcC_L_2_1;1416;4.78;-11,-88,31
208;LOcC_R_2_1;LOcC_R_2_1;[ 208 ];LOcC_R_2_1;1490;5.03;16,-85,34
209;LOcC_L_2_2;LOcC_L_2_2;[ 209 ];LOcC_L_2_2;1342;4.53;-22,-77,36
210;LOcC_R_2_2;LOcC_R_2_2;[ 210 ];LOcC_R_2_2;1854;6.26;29,-75,36
211;Amyg_L_2_1;Amyg_L_2_1;[ 211 ];Amyg_L_2_1;357;1.20;-19,-2,-20
212;Amyg_R_2_1;Amyg_R_2_1;[ 212 ];Amyg_R_2_1;497;1.68;19,-2,-19
213;Amyg_L_2_2;Amyg_L_2_2;[ 213 ];Amyg_L_2_2;207;0.70;-27,-4,-20
214;Amyg_R_2_2;Amyg_R_2_2;[ 214 ];Amyg_R_2_2;308;1.04;28,-3,-20
215;Hipp_L_2_1;Hipp_L_2_1;[ 215 ];Hipp_L_2_1;1373;4.63;-22,-14,-19
216;Hipp_R_2_1;Hipp_R_2_1;[ 216 ];Hipp_R_2_1;1163;3.93;22,-12,-20
217;Hipp_L_2_2;Hipp_L_2_2;[ 217 ];Hipp_L_2_2;1388;4.68;-28,-30,-10
218;Hipp_R_2_2;Hipp_R_2_2;[ 218 ];Hipp_R_2_2;1433;4.84;29,-27,-10
219;BG_L_6_1;BG_L_6_1;[ 219 ];BG_L_6_1;1077;3.63;-12,14,0
220;BG_R_6_1;BG_R_6_1;[ 220 ];BG_R_6_1;787;2.66;15,14,-2
221;BG_L_6_2;BG_L_6_2;[ 221 ];BG_L_6_2;741;2.50;-22,-2,4
222;BG_R_6_2;BG_R_6_2;[ 222 ];BG_R_6_2;768;2.59;22,-2,3
223;BG_L_6_3;BG_L_6_3;[ 223 ];BG_L_6_3;770;2.60;-17,3,-9
224;BG_R_6_3;BG_R_6_3;[ 224 ];BG_R_6_3;971;3.28;15,8,-9
225;BG_L_6_4;BG_L_6_4;[ 225 ];BG_L_6_4;776;2.62;-23,7,-4
226;BG_R_6_4;BG_R_6_4;[ 226 ];BG_R_6_4;563;1.90;22,8,-1
227;BG_L_6_5;BG_L_6_5;[ 227 ];BG_L_6_5;1211;4.09;-14,2,16
228;BG_R_6_5;BG_R_6_5;[ 228 ];BG_R_6_5;1664;5.62;14,5,14
229;BG_L_6_6;BG_L_6_6;[ 229 ];BG_L_6_6;1021;3.45;-28,-5,2
230;BG_R_6_6;BG_R_6_6;[ 230 ];BG_R_6_6;1075;3.63;29,-3,1
231;Tha_L_8_1;Tha_L_8_1;[ 231 ];Tha_L_8_1;505;1.70;-7,-12,5
232;Tha_R_8_1;Tha_R_8_1;[ 232 ];Tha_R_8_1;425;1.43;7,-11,6
233;Tha_L_8_2;Tha_L_8_2;[ 233 ];Tha_L_8_2;343;1.16;-18,-13,3
234;Tha_R_8_2;Tha_R_8_2;[ 234 ];Tha_R_8_2;449;1.52;12,-14,1
235;Tha_L_8_3;Tha_L_8_3;[ 235 ];Tha_L_8_3;333;1.12;-18,-23,4
236;Tha_R_8_3;Tha_R_8_3;[ 236 ];Tha_R_8_3;381;1.29;18,-22,3
237;Tha_L_8_4;Tha_L_8_4;[ 237 ];Tha_L_8_4;497;1.68;-7,-14,7
238;Tha_R_8_4;Tha_R_8_4;[ 238 ];Tha_R_8_4;495;1.67;3,-13,5
239;Tha_L_8_5;Tha_L_8_5;[ 239 ];Tha_L_8_5;519;1.75;-16,-24,6
240;Tha_R_8_5;Tha_R_8_5;[ 240 ];Tha_R_8_5;577;1.95;15,-25,6
241;Tha_L_8_6;Tha_L_8_6;[ 241 ];Tha_L_8_6;541;1.83;-15,-28,4
242;Tha_R_8_6;Tha_R_8_6;[ 242 ];Tha_R_8_6;349;1.18;13,-27,8
243;Tha_L_8_7;Tha_L_8_7;[ 243 ];Tha_L_8_7;472;1.59;-12,-22,13
244;Tha_R_8_7;Tha_R_8_7;[ 244 ];Tha_R_8_7;358;1.21;10,-14,14
245;Tha_L_8_8;Tha_L_8_8;[ 245 ];Tha_L_8_8;837;2.82;-11,-14,2
246;Tha_R_8_8;Tha_R_8_8;[ 246 ];Tha_R_8_8;586;1.98;13,-16,7
